seq,rank,suit
1,2,Club
2,3,Club
3,4,Club
4,5,Club
5,6,Club
6,7,Club
7,8,Club
8,9,Club
9,10,Club
10,J,Club
11,Q,Club
12,K,Club
13,A,Club
14,2,Diamond
15,3,Diamond
16,4,Diamond
17,5,Diamond
18,6,Diamond
19,7,Diamond
20,8,Diamond
21,9,Diamond
22,10,Diamond
23,J,Diamond
24,Q,Diamond
25,K,Diamond
26,A,Diamond
27,2,Heart
28,3,Heart
29,4,Heart
30,5,Heart
31,6,Heart
32,7,Heart
33,8,Heart
34,9,Heart
35,10,Heart
36,J,Heart
37,Q,Heart
38,K,Heart
39,A,Heart
40,2,Spade
41,3,Spade
42,4,Spade
43,5,Spade
44,6,Spade
45,7,Spade
46,8,Spade
47,9,Spade
48,10,Spade
49,J,Spade
50,Q,Spade
51,K,Spade
52,A,Spade
